Provider CCN,Hospital Name,Street Address,City,State Code,Zip Code,County,Number of Beds,Inpatient Total Charges,Outpatient Total Charges,Total Salaries (adjusted),Total Income
510013,REYNOLDS MEMORIAL HOSPITAL,800 WHEELING AVENUE,GLEN DALE,WV,26038,MARSHALL,70,"$6,258,266","$10,730,417","$5,041,683","$2,638,799"
340106,SANDHILLS REGIONAL MEDICAL CENTER,1000 WEST HAMLET AVE,HAMLET,NC,28345,RICHMOND,64,"$7,448,346","$15,418,247","$1,394,262","-$1,114,660"
450178,PECOS COUNTY MEMORIAL HOSPITAL,386 W IH-10,FORT STOCKTON,TX,79735,PECOS,25,"$2,038,040","$6,419,770","$1,982,828","$576,278"
341317,PIONEER HLTH SERV OF STOKES CNTY,1570 NC & 89 HWY,DANBURY,NC,27016,STOKES,25,"$1,347,731","$3,313,062",,"$640,268"
110003,MAYO CLINIC HEALTH SYSTEM WAYCROSS,1900 TEBEAU STREET,WAYCROSS,GA,31501,WARE,155,"$64,928,330","$79,324,714","$19,458,137","-$6,170,184"
250025,GILMORE MEMORIAL REGIONAL MEDICAL CE,1105 EARL FRYE BLVD,AMORY,MS,38821,MONROE,95,"$30,093,947","$52,408,803","$3,995,740","-$1,668,935"
160001,UNITYPOINT HEALTH-MARSHALLTOWN,3 SOUTH 4TH AVENUE,MARSHALLTOWN,IA,50158,MARSHALL,49,"$16,742,042","$40,381,305","$7,395,981","-$5,483,469"
380029,SILVERTON HOSPITAL,342 FAIRVIEW STREET,SILVERTON,OR,97381-1993,MARION,48,"$38,015,697","$57,603,538","$32,446,292","$11,026,517"
140191,INGALLS MEMORIAL HOSPITAL,ONE INGALLS DRIVE,HARVEY,IL,60426,COOK,268,"$357,379,641","$624,302,660","$79,109,509","$18,217,000"
370025,SAINT FRANCIS HOSPITAL MUSKOGEE,300 ROCKEFELLER DRIVE,MUSKOGEE,OK,74401,MUSKOGEE,264,"$63,182,063","$59,904,107","$10,342,496","-$932,886"
510039,OHIO VALLEY GENERAL HOSPITAL,2000 EOFF STREET,WHEELING,WV,26003,OHIO,119,"$48,541,877","$59,872,498","$17,989,144","$16,122,121"
50770,LLUMC MURRIETA,28062 BAXTER ROAD,MURRIETA,CA,92563,RIVERSIDE,106,"$312,673,882","$184,159,596","$30,577,503","-$14,132,104"
50778,LOMA LINDA UNIVERSITY CHILDRENS HOSP,11234 ANDERSON STREET  STE 1836,LOMA LINDA,CA,92354,SAN BERNARDINO,343,"$906,856,203","$154,769,899","$59,754,784","$27,917,045"
301305,ALICE PECK DAY MEMORIAL HOSPITAL,10 ALICE PECK DAY DRIVE,LEBANON,NH,3743,UNITED STATES,24,"$20,462,449","$43,056,243",,"$503,306"
110074,PIEDMONT ATHENS REGIONAL MEDICAL CE,1199 PRINCE AVENUE,ATHENS,GA,30306-,CLARKE,351,"$676,344,516","$539,134,940","$125,465,451","$193,143,055"
364045,POMEGRANATE HEALTH,765 PIERCE DR,COLUMBUS,OH,43223,,,,,,
